Country,TIME,Value
Austria,2016,5401.30362
Austria,2017,5416.8937
Austria,2018,5683.24278
Austria,2019,5959.54993
Austria,2020,5829.83733
Austria,2021,6341.73871
Belgium,2016,4811.19473
Belgium,2017,4757.92552
Belgium,2018,5032.36782
Belgium,2019,5280.4219
Belgium,2020,5410.83206
Belgium,2021,6581.89232
Canada,2016,4428.17296
Canada,2017,4467.15612
Canada,2018,4758.10247
Canada,2019,4894.20732
Canada,2020,5076.24404
Czechia,2016,3547.21523
Czechia,2017,3721.12215
Czechia,2018,3911.20711
Czechia,2019,4033.88589
Czechia,2020,4194.94528
Czechia,2021,4568.60692
Denmark,2016,7873.96871
Denmark,2017,7683.44205
Denmark,2018,7635.77738
Denmark,2019,7727.23923
Denmark,2020,7667.30376
Denmark,2021,7707.72522
Finland,2016,6543.96586
Finland,2017,6731.79223
Finland,2018,6872.98388
Finland,2019,7246.27201
Finland,2020,7548.50264
Finland,2021,7870.6534
France,2016,4467.42812
France,2017,4624.69676
France,2018,4756.58412
France,2019,4870.45612
France,2020,4986.1801
France,2021,5175.00557
Germany,2016,4862.6252
Germany,2017,5087.25427
Germany,2018,5239.97188
Germany,2019,5428.21538
Germany,2020,5413.82418
Germany,2021,5535.95429
Greece,2016,2728.34421
Greece,2017,3264.14594
Greece,2018,3441.0649
Greece,2019,3684.86922
Greece,2020,4073.54743
Greece,2021,4326.3066
Hungary,2016,2624.60598
Hungary,2017,2901.01543
Hungary,2018,3845.49153
Hungary,2019,4020.57775
Hungary,2020,4308.95424
Hungary,2021,4452.15175
Iceland,2016,6629.2432
Iceland,2017,6054.68115
Iceland,2018,5879.26569
Iceland,2021,6940.41702
Ireland,2016,5184.71517
Ireland,2017,5155.37079
Ireland,2018,4749.61714
Ireland,2019,4836.0744
Ireland,2020,4858.6072
Ireland,2021,5250.68228
Italy,2016,2222.20841
Italy,2017,2336.93888
Italy,2018,2541.03826
Italy,2019,2688.64671
Italy,2020,2632.27982
Italy,2021,2677.84078
Japan,2016,5235.15675
Japan,2017,5331.27133
Japan,2018,5361.96599
Japan,2019,5409.53544
Japan,2020,5495.25074
Japan,2021,5638.41792
South Korea,2016,7056.34297
South Korea,2017,7450.5576
South Korea,2018,7913.5015
South Korea,2019,8322.58762
South Korea,2020,8614.63518
South Korea,2021,9081.93585
Luxembourg,2016,4802.84536
Luxembourg,2017,4971.16521
Luxembourg,2018,4756.47013
Luxembourg,2019,5092.30827
Luxembourg,2020,4690.30266
Luxembourg,2021,4940.60373
Mexico,2016,321.8083
Mexico,2017,320.14698
Mexico,2018,317.40691
Mexico,2019,335.13871
Mexico,2020,357.97889
Mexico,2021,384.08649
Netherlands,2016,5128.77161
Netherlands,2017,5302.34455
Netherlands,2018,5535.47607
Netherlands,2019,5640.24547
Netherlands,2020,5865.72665
Netherlands,2021,6074.31065
New Zealand,2017,5098.76412
New Zealand,2019,5724.13122
New Zealand,2021,5102.2701
Norway,2016,6120.12967
Norway,2017,6395.43983
Norway,2018,6483.52599
Norway,2019,6736.85143
Norway,2020,6765.33242
Norway,2021,7227.93066
Poland,2016,2288.0817
Poland,2017,2973.76616
Poland,2018,3056.76772
Poland,2019,3136.39045
Poland,2020,3238.20911
Poland,2021,3534.49865
Portugal,2016,3995.62552
Portugal,2017,4355.7475
Portugal,2018,4627.17238
Portugal,2019,4879.31874
Portugal,2020,5163.35335
Portugal,2021,5473.44704
Portugal,2022,5742.97209
Slovakia,2016,2607.20126
Slovakia,2017,2801.07321
Slovakia,2018,3001.40432
Slovakia,2019,3114.86275
Slovakia,2020,3165.59494
Slovakia,2021,3211.04404
Spain,2016,2727.42868
Spain,2017,2863.75013
Spain,2018,3003.56286
Spain,2019,3067.66122
Spain,2020,3071.44816
Spain,2021,3251.74281
Sweden,2016,7107.98056
Sweden,2017,7308.65913
Sweden,2018,7433.21055
Sweden,2019,7697.83607
Sweden,2020,7759.49884
Sweden,2021,8130.79112
Switzerland,2017,5258.54316
Switzerland,2019,5562.95061
Switzerland,2021,6022.74647
Türkiye,2016,1246.89301
Türkiye,2017,1369.34598
Türkiye,2018,1530.90472
Türkiye,2019,1629.73242
Türkiye,2020,1786.51708
Türkiye,2021,1999.53412
United Kingdom of Great Britain and Northern Ireland,2016,4448.35197
United Kingdom of Great Britain and Northern Ireland,2017,4491.317
United States of America,2016,3830.4626
United States of America,2017,3958.56396
United States of America,2018,4261.98949
United States of America,2019,4308.87396
United States of America,2020,4451.78104
Argentina,2016,1260.70106
Argentina,2017,1212.45726
Argentina,2018,1227.40422
Argentina,2019,1231.51703
Argentina,2020,1256.26717
Argentina,2021,1283.79869
Bolivia (Plurinational State of),2017,49.83286
Bolivia (Plurinational State of),2019,58.31368
Bolivia (Plurinational State of),2021,62.37397
Brunei Darussalam,2022,513.56362
Bulgaria,2016,2198.80821
Bulgaria,2017,2092.08124
Bulgaria,2018,2310.61903
Bulgaria,2019,2391.02454
Bulgaria,2020,2377.55574
Bulgaria,2021,2339.25243
Colombia,2016,90.92885
Colombia,2017,89.86123
Congo,2022,128.24961
Costa Rica,2016,523.11853
Costa Rica,2017,378.87941
Costa Rica,2018,343.77862
Costa Rica,2020,365.69417
Costa Rica,2021,399.35022
Croatia,2016,1837.36663
Croatia,2017,1856.81189
Croatia,2018,1912.06832
Croatia,2019,2127.93472
Croatia,2020,2214.7751
Croatia,2021,2330.90633
Cyprus,2016,1058.56405
Cyprus,2017,1209.63685
Cyprus,2018,1408.18017
Cyprus,2019,1657.72538
Cyprus,2020,1739.85507
Cyprus,2021,1743.28995
Egypt,2016,659.06477
Egypt,2017,647.85695
Egypt,2018,657.59182
Egypt,2019,791.01117
Egypt,2020,804.91071
Egypt,2021,821.7045
Egypt,2022,841.40224
Estonia,2016,3296.20731
Estonia,2017,3552.23048
Estonia,2018,3765.62187
Estonia,2019,3769.83693
Estonia,2020,3835.71868
Estonia,2021,4038.19516
Ethiopia,2017,90.24062
Guatemala,2016,22.67179
Guatemala,2017,14.47812
Guatemala,2018,13.27843
Guatemala,2019,14.95745
Guatemala,2020,17.29424
Guatemala,2021,14.51904
India,2018,251.01397
India,2020,260.38328
Jordan,2016,575.32083
Jordan,2017,577.9223
Kuwait,2016,465.2199
Kuwait,2017,504.9046
Kuwait,2018,503.72785
Kuwait,2019,175.58415
Kuwait,2020,165.83262
Kuwait,2022,181.98084
Latvia,2016,1589.81469
Latvia,2017,1772.61368
Latvia,2018,1776.50389
Latvia,2019,1885.90386
Latvia,2020,2135.01786
Latvia,2021,2404.52392
Lithuania,2016,2891.36342
Lithuania,2017,2994.60998
Lithuania,2018,3092.74534
Lithuania,2019,3364.46717
Lithuania,2020,3590.74721
Lithuania,2021,3935.08527
North Macedonia,2016,842.85206
North Macedonia,2017,719.23357
North Macedonia,2018,788.03723
North Macedonia,2019,775.3953
North Macedonia,2020,775.23718
North Macedonia,2021,743.68667
North Macedonia,2022,642.37487
Madagascar,2016,24.43313
Madagascar,2017,30.30991
Madagascar,2018,33.72828
Malaysia,2016,2349.77281
Malaysia,2018,2139.51967
Malaysia,2020,726.45719
Malta,2016,1939.75502
Malta,2017,1970.44959
Malta,2018,1866.12509
Malta,2019,1886.77729
Malta,2020,1983.92841
Malta,2021,2160.72659
Republic of Moldova,2016,912.00965
Republic of Moldova,2017,923.49386
Republic of Moldova,2018,903.41782
Republic of Moldova,2019,823.53362
Republic of Moldova,2020,774.67919
Republic of Moldova,2021,781.24167
Republic of Moldova,2022,768.02221
Myanmar,2017,29.79052
Myanmar,2018,33.86079
Myanmar,2019,30.17835
Myanmar,2020,32.55807
Myanmar,2021,18.96736
Pakistan,2017,324.85582
Pakistan,2019,374.40653
Pakistan,2021,415.30243
Panama,2016,96.95523
Panama,2017,105.8816
Panama,2018,107.23832
Panama,2019,110.72686
Panama,2020,167.62235
Panama,2021,134.62088
Panama,2022,142.03242
Paraguay,2016,131.92398
Paraguay,2017,147.04097
Paraguay,2018,151.8835
Paraguay,2019,168.95293
Paraguay,2020,140.87852
Paraguay,2021,142.39946
Philippines,2018,172.00786
Romania,2016,908.9898
Romania,2017,887.30938
Romania,2018,875.76242
Romania,2019,887.07363
Romania,2020,940.54664
Romania,2021,985.49335
Russia,2016,2959.96583
Russia,2017,2825.53951
Russia,2018,2787.2464
Russia,2019,2749.48531
Russia,2020,2724.90717
Russia,2021,2675.55474
Russia,2022,2697.89248
Rwanda,2016,13.72771
Rwanda,2019,58.50478
Singapore,2016,6897.04458
Singapore,2017,6777.63699
Singapore,2018,6786.69594
Singapore,2019,7275.63158
Singapore,2020,7224.74807
Slovenia,2016,3892.97227
Slovenia,2017,4440.84494
Slovenia,2018,4788.84668
Slovenia,2019,4980.42048
Slovenia,2020,5124.62599
Slovenia,2021,5223.00015
South Africa,2016,489.20081
South Africa,2017,524.14553
South Africa,2018,510.97357
South Africa,2019,491.40996
South Africa,2020,472.68092
Thailand,2016,1183.14274
Thailand,2017,1320.63055
Thailand,2018,1718.45617
Thailand,2019,1749.91905
Thailand,2020,2023.83061
Thailand,2021,1699.05923
Tunisia,2016,1942.66881
Tunisia,2017,1893.23867
Tunisia,2018,1765.24484
Tunisia,2019,1701.58107
Tunisia,2020,1620.48515
Tunisia,2021,1584.24254
Tunisia,2022,1671.98851
Ukraine,2016,1037.24086
Ukraine,2017,994.07744
Ukraine,2018,988.07663
Ukraine,2019,880.55411
Ukraine,2020,846.24846
Ukraine,2021,752.81183
Ukraine,2022,580.81066
Uruguay,2016,731.95725
Uruguay,2017,749.07945
Uruguay,2018,779.43961
Uruguay,2019,795.96424
Uruguay,2020,813.23793
Uruguay,2021,838.50792
Venezuela (Bolivarian Republic of),2016,292.0226
Venezuela (Bolivarian Republic of),2019,230.67055
Venezuela (Bolivarian Republic of),2020,289.18399
Venezuela (Bolivarian Republic of),2021,275.85283
Venezuela (Bolivarian Republic of),2022,351.97235
Serbia,2016,2121.8924
Serbia,2017,2067.73261
Serbia,2018,2075.98604
Serbia,2019,2087.27636
Serbia,2020,2149.85336
Serbia,2021,2206.70833
Serbia,2022,2349.67681
Algeria,2017,832.42282
Bosnia and Herzegovina,2016,406.14245
Bosnia and Herzegovina,2017,470.16902
