Country,Time,Value
Algeria,2017,0.53432
Angola,2016,0.03229
Argentina,2016,0.55815
Argentina,2017,0.55631
Argentina,2018,0.4883
Argentina,2019,0.47813
Argentina,2020,0.54154
Argentina,2021,0.51764
Armenia,2016,0.23305
Armenia,2017,0.22788
Armenia,2018,0.18876
Armenia,2019,0.17854
Armenia,2020,0.2092
Armenia,2021,0.20583
Armenia,2022,0.20966
Australia,2017,1.87977
Australia,2019,1.82892
Austria,2016,3.11655
Austria,2017,3.05656
Austria,2018,3.09182
Austria,2019,3.13247
Austria,2020,3.20149
Austria,2021,3.25632
Azerbaijan,2016,0.20637
Azerbaijan,2017,0.18468
Azerbaijan,2018,0.18416
Azerbaijan,2019,0.20013
Azerbaijan,2020,0.2239
Azerbaijan,2021,0.20836
Azerbaijan,2022,0.15147
Belarus,2016,0.50063
Belarus,2017,0.58411
Belarus,2018,0.60443
Belarus,2019,0.57733
Belarus,2020,0.53901
Belarus,2021,0.45981
Belarus,2022,0.48064
Belgium,2016,2.52338
Belgium,2017,2.66666
Belgium,2018,2.86018
Belgium,2019,3.1566
Belgium,2020,3.39697
Belgium,2021,3.42979
Bermuda,2018,0.22851
Bermuda,2019,0.26451
Bermuda,2020,0.22546
Bosnia and Herzegovina,2016,0.21337
Bosnia and Herzegovina,2017,0.1978
Bosnia and Herzegovina,2018,0.19199
Bosnia and Herzegovina,2019,0.19001
Bosnia and Herzegovina,2020,0.20325
Bosnia and Herzegovina,2021,0.19054
Bosnia and Herzegovina,2022,0.18749
Brazil,2016,1.28637
Brazil,2017,1.1175
Brazil,2018,1.16769
Brazil,2019,1.21096
Brazil,2020,1.14526
Brunei Darussalam,2018,0.27763
Bulgaria,2016,0.76976
Bulgaria,2017,0.73995
Bulgaria,2018,0.75379
Bulgaria,2019,0.83236
Bulgaria,2020,0.84924
Bulgaria,2021,0.7726
Burkina Faso,2017,0.61361
Burkina Faso,2019,0.17278
Burkina Faso,2020,0.24824
Burkina Faso,2021,0.25006
Burundi,2018,0.21312
Canada,2016,1.72903
Canada,2017,1.68702
Canada,2018,1.7372
Canada,2019,1.75573
Canada,2020,1.89484
Canada,2021,1.69727
Canada,2022,1.55182
Chad,2016,0.3005
Chile,2016,0.37103
Chile,2017,0.35679
Chile,2018,0.36916
Chile,2019,0.34205
Chile,2020,0.33496
China,2016,2.10033
China,2017,2.11603
China,2018,2.14058
China,2019,2.24463
China,2020,2.40666
China,2021,2.4326
Colombia,2016,0.27051
Colombia,2017,0.26109
Colombia,2018,0.31233
Colombia,2019,0.32201
Colombia,2020,0.28961
Congo,2022,0.4149
Costa Rica,2016,0.44335
Costa Rica,2017,0.42587
Costa Rica,2018,0.37144
Costa Rica,2020,0.33002
Costa Rica,2021,0.27531
Croatia,2016,0.84995
Croatia,2017,0.84727
Croatia,2018,0.95125
Croatia,2019,1.07963
Croatia,2020,1.24261
Croatia,2021,1.24485
Cuba,2016,0.34223
Cuba,2017,0.43066
Cuba,2018,0.53691
Cuba,2019,0.55308
Cuba,2020,0.51838
Cuba,2021,0.32282
Cyprus,2016,0.5197
Cyprus,2017,0.54259
Cyprus,2018,0.61405
Cyprus,2019,0.7095
Cyprus,2020,0.84387
Cyprus,2021,0.83059
Czechia,2016,1.67003
Czechia,2017,1.76855
Czechia,2018,1.89906
Czechia,2019,1.92734
Czechia,2020,1.98599
Czechia,2021,1.99601
Côte d'Ivoire,2016,0.06975
Denmark,2016,3.09283
Denmark,2017,2.93124
Denmark,2018,2.96603
Denmark,2019,2.89685
Denmark,2020,2.96873
Denmark,2021,2.81262
Egypt,2016,0.70848
Egypt,2017,0.64486
Egypt,2018,0.68839
Egypt,2019,0.79617
Egypt,2020,0.91564
Egypt,2021,0.91175
Egypt,2022,1.01968
El Salvador,2016,0.14493
El Salvador,2017,0.18078
El Salvador,2018,0.16531
El Salvador,2019,0.17477
El Salvador,2020,0.16294
El Salvador,2021,0.16026
Estonia,2016,1.24306
Estonia,2017,1.27685
Estonia,2018,1.40999
Estonia,2019,1.63146
Estonia,2020,1.75092
Estonia,2021,1.75215
Ethiopia,2017,0.27437
Finland,2016,2.72442
Finland,2017,2.72787
Finland,2018,2.75749
Finland,2019,2.79961
Finland,2020,2.91243
Finland,2021,2.98934
France,2016,2.22238
France,2017,2.19888
France,2018,2.19666
France,2019,2.19179
France,2020,2.28189
France,2021,2.21918
Gambia,2018,0.06933
Georgia,2016,0.28586
Georgia,2017,0.27023
Georgia,2018,0.28052
Georgia,2019,0.28468
Georgia,2020,0.3008
Georgia,2021,0.25174
Georgia,2022,0.23832
Germany,2016,2.94039
Germany,2017,3.0471
Germany,2018,3.11011
Germany,2019,3.16779
Germany,2020,3.12979
Germany,2021,3.14246
Greece,2016,1.00529
Greece,2017,1.15228
Greece,2018,1.21371
Greece,2019,1.27496
Greece,2020,1.50793
Greece,2021,1.45642
Guatemala,2016,0.02311
Guatemala,2017,0.02955
Guatemala,2018,0.02938
Guatemala,2019,0.02642
Guatemala,2020,0.04888
Guatemala,2021,0.05863
Honduras,2017,0.03994
Honduras,2018,0.06394
Honduras,2019,0.05948
Hungary,2016,1.17987
Hungary,2017,1.31702
Hungary,2018,1.50775
Hungary,2019,1.47291
Hungary,2020,1.59315
Hungary,2021,1.6423
Iceland,2016,2.11011
Iceland,2017,2.08413
Iceland,2018,2.00081
Iceland,2019,2.34165
Iceland,2020,2.49069
Iceland,2021,2.80542
India,2016,0.66984
India,2017,0.66603
India,2018,0.66001
India,2019,0.65942
India,2020,0.64636
Indonesia,2016,0.24535
Indonesia,2017,0.23805
Indonesia,2018,0.22632
Indonesia,2019,0.27129
Indonesia,2020,0.28068
Iran (Islamic Republic of),2017,0.75983
Iran (Islamic Republic of),2019,0.78829
Iraq,2016,0.03737
Iraq,2017,0.04596
Iraq,2018,0.04279
Iraq,2019,0.03266
Iraq,2020,0.04053
Iraq,2021,0.04109
Ireland,2016,1.17507
Ireland,2017,1.25187
Ireland,2018,1.1672
Ireland,2019,1.22527
Ireland,2020,1.23252
Ireland,2021,1.13093
Israel,2016,4.47174
Israel,2017,4.62415
Israel,2018,4.77613
Israel,2019,5.21564
Israel,2020,5.70555
Israel,2021,5.55675
Italy,2016,1.36642
Italy,2017,1.37013
Italy,2018,1.42443
Italy,2019,1.46159
Italy,2020,1.5068
Italy,2021,1.45392
Japan,2016,3.10666
Japan,2017,3.16636
Japan,2018,3.2192
Japan,2019,3.21824
Japan,2020,3.26897
Japan,2021,3.29581
Jordan,2016,0.69547
Kazakhstan,2016,0.14179
Kazakhstan,2017,0.12667
Kazakhstan,2018,0.11683
Kazakhstan,2019,0.11841
Kazakhstan,2020,0.12602
Kazakhstan,2021,0.13023
Kazakhstan,2022,0.11974
Kenya,2022,0.41019
Kuwait,2016,0.07985
Kuwait,2017,0.0804
Kuwait,2018,0.06349
