Country,Country Code,2022 [YR2022],Classification
Afghanistan,AFG,1.88679242134094,Lower Income
Albania,ALB,56.6037750244141,Lower Income
Algeria,DZA,32.5471687316895,Lower Income
Andorra,AND,92.4528274536133,Upper Income
Angola,AGO,13.2075471878052,Lower Income
Antigua and Barbuda,ATG,46.2264137268066,Upper Income
Argentina,ARG,41.9811325073242,Lower Income
Armenia,ARM,39.1509437561035,Lower Income
Australia,AUS,92.9245300292969,Upper Income
Austria,AUT,91.5094375610352,Upper Income
Azerbaijan,AZE,50.9433975219727,Lower Income
Bahamas,BHS,65.0943374633789,Upper Income
Bahrain,BHR,72.1698150634766,Upper Income
Bangladesh,BGD,23.1132068634033,Lower Income
Barbados,BRB,65.5660400390625,Upper Income
Belarus,BLR,19.8113212585449,Lower Income
Belgium,BEL,84.9056625366211,Upper Income
Belize,BLZ,36.3207550048828,Lower Income
Benin,BEN,45.7547187805176,Lower Income
Bhutan,BTN,69.8113174438477,Lower Income
Bolivia,BOL,31.6037731170654,Lower Income
Bosnia and Herzegovina,BIH,12.7358493804932,Lower Income
Botswana,BWA,67.9245300292969,Lower Income
Brazil,BRA,30.6603775024414,Lower Income
Brunei,BRN,91.0377349853516,Upper Income
Bulgaria,BGR,42.9245300292969,Upper Income
Burkina Faso,BFA,21.2264156341553,Lower Income
Burundi,BDI,10.3773584365845,Lower Income
Cape Verde,CPV,51.886791229248,Lower Income
Cambodia,KHM,36.7924537658691,Lower Income
Cameroon,CMR,18.8679237365723,Lower Income
Canada,CAN,94.3396224975586,Upper Income
Central African Republic,CAF,4.24528312683105,Lower Income
Chad,TCD,8.49056625366211,Lower Income
Chile,CHL,69.3396224975586,Upper Income
China,CHN,68.3962249755859,Upper Income
Colombia,COL,53.7735862731934,Lower Income
Comoros,COM,6.13207530975342,Lower Income
DR Congo,COD,3.30188679695129,Lower Income
Republic of the Congo,COG,8.96226406097412,Lower Income
Costa Rica,CRI,55.6603775024414,Upper Income
Ivory Coast,CIV,37.7358474731445,Lower Income
Croatia,HRV,70.2830200195313,Upper Income
Cuba,CUB,37.2641525268555,Lower Income
Cyprus,CYP,75.4716949462891,Upper Income
Czech Republic,CZE,81.1320724487305,Upper Income
Denmark,DNK,98.5849075317383,Upper Income
Djibouti,DJI,22.1698112487793,Lower Income
Dominica,DMA,49.0566024780273,Lower Income
Dominican Republic,DOM,50.0,Lower Income
Ecuador,ECU,40.0943412780762,Lower Income
Egypt,EGY,33.9622650146484,Lower Income
El Salvador,SLV,38.6792449951172,Lower Income
