Country,Country Code,2022 [YR2022],Classification
Afghanistan,AFG,-2.5508017539978,Lower Income
Albania,ALB,0.114945493638515,Lower Income
Algeria,DZA,-0.741771519184113,Lower Income
Andorra,AND,1.58773648738861,Upper Income
Angola,AGO,-0.646240890026093,Lower Income
Antigua and Barbuda,ATG,0.94386225938797,Upper Income
Argentina,ARG,-0.0091632818803191,Lower Income
Armenia,ARM,-0.797183930873871,Lower Income
Australia,AUS,0.933572053909302,Upper Income
Austria,AUT,0.637995362281799,Upper Income
Azerbaijan,AZE,-0.931885719299316,Lower Income
Bahamas,BHS,0.883432567119598,Upper Income
Bahrain,BHR,-0.407028496265411,Upper Income
Bangladesh,BGD,-1.09237110614777,Lower Income
Barbados,BRB,1.15202713012695,Upper Income
Belarus,BLR,-0.79387354850769,Lower Income
Belgium,BEL,0.575668811798096,Upper Income
Belize,BLZ,0.426349759101868,Lower Income
Benin,BEN,-0.349461376667023,Lower Income
Bhutan,BTN,0.86481773853302,Lower Income
Bolivia,BOL,-0.283260941505432,Lower Income
Bosnia and Herzegovina,BIH,-0.439371019601822,Lower Income
Botswana,BWA,1.07751607894897,Lower Income
Brazil,BRA,-0.331465899944305,Lower Income
Brunei,BRN,1.25736796855927,Upper Income
Bulgaria,BGR,0.246252059936523,Upper Income
Burkina Faso,BFA,-1.7825174331665,Lower Income
Burundi,BDI,-1.18886947631836,Lower Income
Cape Verde,CPV,0.929428398609161,Lower Income
Cambodia,KHM,-0.0361724458634853,Lower Income
Cameroon,CMR,-1.35294902324677,Lower Income
Canada,CAN,0.772814035415649,Upper Income
Central African Republic,CAF,-2.16247296333313,Lower Income
Chad,TCD,-1.48370337486267,Lower Income
Chile,CHL,0.118578858673573,Upper Income
China,CHN,-0.441073626279831,Upper Income
Colombia,COL,-0.641925930976868,Lower Income
Comoros,COM,-0.230514869093895,Lower Income
DR Congo,COD,-1.97774624824524,Lower Income
Republic of the Congo,COG,-0.0169060137122869,Lower Income
Costa Rica,CRI,0.954446792602539,Upper Income
Ivory Coast,CIV,-0.51637864112854,Lower Income
Croatia,HRV,0.61216127872467,Upper Income
Cuba,CUB,0.49952158331871,Lower Income
Cyprus,CYP,0.418635070323944,Upper Income
Czech Republic,CZE,0.815441370010376,Upper Income
Denmark,DNK,0.86500883102417,Upper Income
Djibouti,DJI,-0.508419454097748,Lower Income
Dominica,DMA,1.29823231697083,Lower Income
Dominican Republic,DOM,0.328113049268723,Lower Income
Ecuador,ECU,-0.239295244216919,Lower Income
Egypt,EGY,-1.02805662155151,Lower Income
El Salvador,SLV,-0.153124496340752,Lower Income
Equatorial Guinea,GNQ,-0.0742535442113876,Lower Income
Eritrea,ERI,-0.970292985439301,Lower Income
Estonia,EST,0.723720729351044,Upper Income
Eswatini,SWZ,-0.249723330140114,Lower Income
Ethiopia,ETH,-2.03806757926941,Lower Income
Fiji,FJI,0.764339506626129,Lower Income
Finland,FIN,0.891491711139679,Upper Income
France,FRA,0.334524124860764,Upper Income
Gabon,GAB,0.0698951333761215,Lower Income
Gambia,GMB,0.0458285696804523,Lower Income
Georgia,GEO,-0.440949499607086,Lower Income
Germany,DEU,0.614759147167206,Upper Income
Ghana,GHA,-0.0659129694104195,Lower Income
Greece,GRC,0.0643030628561974,Upper Income
Grenada,GRD,1.04379844665527,Lower Income
Guatemala,GTM,-0.30497133731842,Lower Income
Guinea,GIN,-0.864391386508942,Lower Income
Guinea-Bissau,GNB,-0.394830405712128,Lower Income
Guyana,GUY,0.0270621627569199,Upper Income
Haiti,HTI,-1.4062956571579,Lower Income
Honduras,HND,-0.552035331726074,Lower Income
Hong Kong,HKG,0.61155503988266,Upper Income
Hungary,HUN,0.635951280593872,Upper Income
Iceland,ISL,1.26293528079987,Upper Income
India,IND,-0.568608164787292,Lower Income
Indonesia,IDN,-0.439423859119415,Lower Income
Iran,IRN,-1.58643913269043,Lower Income
Iraq,IRQ,-2.47392463684082,Lower Income
Ireland,IRL,0.881889522075653,Upper Income
Israel,ISR,-1.285315990448,Upper Income
Italy,ITA,0.413505375385284,Upper Income
Jamaica,JAM,0.379746347665787,Lower Income
Japan,JPN,1.07391095161438,Upper Income
Jordan,JOR,-0.296307682991028,Lower Income
Kazakhstan,KAZ,-0.356833428144455,Lower Income
Kenya,KEN,-0.943087220191956,Lower Income
Kiribati,KIR,1.11602663993835,Lower Income
North Korea,PRK,-0.412224322557449,Lower Income
South Korea,KOR,0.56241101026535,Upper Income
Kuwait,KWT,0.28121742606163,Upper Income
Kyrgyzstan,KGZ,-0.54657906293869,Lower Income
Laos,LAO,0.802727520465851,Lower Income
Latvia,LVA,0.480724364519119,Upper Income
Lebanon,LBN,-1.47351241111755,Lower Income
Lesotho,LSO,-0.134738370776176,Lower Income
Liberia,LBR,-0.291599869728088,Lower Income
Libya,LBY,-2.19796347618103,Lower Income
