Country,Country Code,2022 [YR2022],Classification
Afghanistan,AFG,8.96226406097412,Lower Income
Albania,ALB,57.5471687316895,Lower Income
Algeria,DZA,14.1509437561035,Lower Income
Andorra,AND,90.0943374633789,Upper Income
Angola,AGO,29.7169818878174,Lower Income
Antigua and Barbuda,ATG,61.3207550048828,Upper Income
Argentina,ARG,25.943395614624,Lower Income
Armenia,ARM,51.886791229248,Lower Income
Australia,AUS,99.5283050537109,Upper Income
Austria,AUT,87.2641525268555,Upper Income
Azerbaijan,AZE,48.113208770752,Lower Income
Bahamas,BHS,47.1698112487793,Upper Income
Bahrain,BHR,78.301887512207,Upper Income
Bangladesh,BGD,17.9245281219482,Lower Income
Barbados,BRB,67.9245300292969,Upper Income
Belarus,BLR,7.54716968536377,Lower Income
Belgium,BEL,86.7924499511719,Upper Income
Belize,BLZ,35.8490562438965,Lower Income
Benin,BEN,39.6226425170898,Lower Income
Bhutan,BTN,38.6792449951172,Lower Income
Bolivia,BOL,10.3773584365845,Lower Income
Bosnia and Herzegovina,BIH,45.7547187805176,Lower Income
Botswana,BWA,72.1698150634766,Lower Income
Brazil,BRA,43.8679237365723,Lower Income
Brunei,BRN,82.5471725463867,Upper Income
Bulgaria,BGR,61.7924537658691,Upper Income
Burkina Faso,BFA,34.4339637756348,Lower Income
Burundi,BDI,17.4528293609619,Lower Income
Cape Verde,CPV,60.8490562438965,Lower Income
Cambodia,KHM,25.0,Lower Income
Cameroon,CMR,19.3396224975586,Lower Income
Canada,CAN,95.7547149658203,Upper Income
Central African Republic,CAF,6.13207530975342,Lower Income
Chad,TCD,12.7358493804932,Lower Income
Chile,CHL,81.1320724487305,Upper Income
China,CHN,36.7924537658691,Upper Income
Colombia,COL,56.6037750244141,Lower Income
Comoros,COM,10.8490562438965,Lower Income
DR Congo,COD,5.66037750244141,Lower Income
Republic of the Congo,COG,9.43396186828613,Lower Income
Costa Rica,CRI,71.2264175415039,Upper Income
Ivory Coast,CIV,46.2264137268066,Lower Income
Croatia,HRV,68.3962249755859,Upper Income
Cuba,CUB,7.07547187805176,Lower Income
Cyprus,CYP,75.4716949462891,Upper Income
Czech Republic,CZE,88.6792449951172,Upper Income
Denmark,DNK,98.5849075317383,Upper Income
Djibouti,DJI,18.8679237365723,Lower Income
Dominica,DMA,62.7358474731445,Lower Income
Dominican Republic,DOM,54.2452812194824,Lower Income
Ecuador,ECU,35.3773574829102,Lower Income
Egypt,EGY,24.5283012390137,Lower Income
El Salvador,SLV,34.9056587219238,Lower Income
Equatorial Guinea,GNQ,5.18867921829224,Lower Income
Eritrea,ERI,0.471698105335236,Lower Income
Estonia,EST,92.9245300292969,Upper Income
Eswatini,SWZ,23.5849056243896,Lower Income
