Country,Country Code,2022 [YR2022],Classification
Afghanistan,AFG,5.18867921829224,Lower Income
Albania,ALB,47.1698112487793,Lower Income
Algeria,DZA,22.6415100097656,Lower Income
Andorra,AND,90.5660400390625,Upper Income
Angola,AGO,16.0377349853516,Lower Income
Antigua and Barbuda,ATG,61.7924537658691,Upper Income
Argentina,ARG,34.9056587219238,Lower Income
Armenia,ARM,46.2264137268066,Lower Income
Australia,AUS,91.0377349853516,Upper Income
Austria,AUT,95.7547149658203,Upper Income
Azerbaijan,AZE,25.943395614624,Lower Income
Bahamas,BHS,55.6603775024414,Upper Income
Bahrain,BHR,65.0943374633789,Upper Income
Bangladesh,BGD,29.7169818878174,Lower Income
Barbados,BRB,60.3773574829102,Upper Income
Belarus,BLR,11.7924528121948,Lower Income
Belgium,BEL,88.2075500488281,Upper Income
Belize,BLZ,24.5283012390137,Lower Income
Benin,BEN,28.7735843658447,Lower Income
Bhutan,BTN,71.698112487793,Lower Income
Bolivia,BOL,9.43396186828613,Lower Income
Bosnia and Herzegovina,BIH,41.5094337463379,Lower Income
Botswana,BWA,66.0377349853516,Lower Income
Brazil,BRA,43.3962249755859,Lower Income
Brunei,BRN,80.1886825561523,Upper Income
Bulgaria,BGR,49.5283012390137,Upper Income
Burkina Faso,BFA,28.301887512207,Lower Income
Burundi,BDI,9.90566062927246,Lower Income
Cape Verde,CPV,60.8490562438965,Lower Income
Cambodia,KHM,21.2264156341553,Lower Income
Cameroon,CMR,15.5660381317139,Lower Income
Canada,CAN,92.9245300292969,Upper Income
Central African Republic,CAF,3.77358484268188,Lower Income
Chad,TCD,8.01886749267578,Lower Income
Chile,CHL,72.6415100097656,Upper Income
China,CHN,52.8301887512207,Upper Income
Colombia,COL,38.6792449951172,Lower Income
Comoros,COM,8.49056625366211,Lower Income
DR Congo,COD,4.24528312683105,Lower Income
Republic of the Congo,COG,15.0943393707275,Lower Income
Costa Rica,CRI,64.6226425170898,Upper Income
Ivory Coast,CIV,35.3773574829102,Lower Income
Croatia,HRV,61.3207550048828,Upper Income
Cuba,CUB,36.3207550048828,Lower Income
Cyprus,CYP,68.8679275512695,Upper Income
Czech Republic,CZE,83.4905624389648,Upper Income
