Country,Year,Patent Applicants per Million
Albania,2019,4
Algeria,2020,163
Andorra,2020,3
Angola,2020,85
Antigua and Barbuda,2018,5
Argentina,2020,930
Armenia,2020,63
Aruba,2002,1
Australia,2020,2368
Austria,2020,2124
Azerbaijan,2020,90
Bahamas,2017,4
Bahrain,2020,7
Bangladesh,2020,40
Barbados,2020,29
Belarus,2020,317
Belgium,2020,862
Belize,2006,1
Bhutan,2019,1
Bolivia,2017,59
Bosnia and Herzegovina,2020,50
Botswana,2020,2
Brazil,2020,5280
Brunei,2020,5
Bulgaria,2020,239
Burkina Faso,2010,2
Burundi,2020,2
Cambodia,2018,1
Canada,2020,4452
Cape Verde,2020,1
Chile,2020,372
China,2020,1344817
Colombia,2020,369
Congo,1988,19
Costa Rica,2020,12
Cote d'Ivoire,2012,26
Croatia,2020,117
Cuba,2020,33
Cyprus,2020,2
Czechia,2020,673
Democratic Republic of Congo,2020,72
Denmark,2020,1261
Djibouti,2013,1
Dominican Republic,2020,10
East Asia and Pacific (WB),2020,1769228
Ecuador,2020,33
Egypt,2020,978
El Salvador,2020,4
Estonia,2020,21
Ethiopia,2020,6
Europe and Central Asia (WB),2020,215964
Fiji,1980,2
Finland,2020,1588
France,2020,12771
Georgia,2020,81
Germany,2020,42260
Ghana,2020,12
Greece,2020,400
Grenada,2020,2
Guatemala,2020,7
Guyana,2018,2
Haiti,2014,2
High-income countries,2020,870300
Honduras,2018,8
Hong Kong,2020,423
Hungary,2020,428
Iceland,2020,44
India,2020,23141
Indonesia,2020,1309
Iran,2020,11396
Iraq,2020,635
Ireland,2020,75
Israel,2020,1642
Italy,2020,10061
Jamaica,2020,10
Japan,2020,227348
Jordan,2020,36
Kazakhstan,2020,803
Kenya,2020,341
Kuwait,2018,1
Kyrgyzstan,2020,63
Laos,2018,1
Latin America and Caribbean (WB),2020,8385
Latvia,2020,93
Lebanon,2015,110
Lesotho,2019,1
Liberia,1993,14
Libya,1996,12
Lithuania,2020,95
Low-income countries,2020,600
Lower-middle-income countries,2020,42400
Luxembourg,2020,129
Macao,2020,3
Madagascar,2020,6
Malawi,2016,3
Malaysia,2020,989
Mali,1981,1
Malta,2020,6
Mauritius,2020,6
Mexico,2020,1132
Middle East and North Africa (WB),2020,17557
Moldova,2020,85
Monaco,2020,6
Mongolia,2020,66
Montenegro,2020,5
Morocco,2020,250
Mozambique,2020,26
Namibia,2019,8
Nepal,2017,20
Netherlands,2020,2198
New Zealand,2020,348
Nicaragua,2014,1
Nigeria,2020,410
North America (WB),2020,274038
North Korea,2020,6937
North Macedonia,2020,47
Norway,2020,880
Oman,2019,30
Pakistan,2020,338
Panama,2020,22
Papua New Guinea,2015,1
Paraguay,2020,14
Peru,2020,125
Philippines,2020,476
Poland,2020,4010
Portugal,2020,695
Qatar,2020,81
Romania,2020,817
Russia,2020,23759
Rwanda,2018,6
Saint Lucia,2018,2
Samoa,2019,2
San Marino,2020,9
Saudi Arabia,2020,1294
Serbia,2020,138
Seychelles,2020,3
Singapore,2020,1778
Slovakia,2020,206
Slovenia,2018,255
Somalia,1984,1
South Africa,2020,542
South Asia (WB),2020,23872
South Korea,2020,180477
Spain,2020,1431
Sri Lanka,2020,353
Sub-Saharan Africa (WB),2020,1834
Sudan,2020,153
Sweden,2020,1764
Switzerland,2020,1384
Syria,2020,76
Tajikistan,2019,1
Tanzania,2015,1
Thailand,2020,863
Trinidad and Tobago,2020,1
Tunisia,2018,180
Turkey,2020,7920
Turkmenistan,1999,44
Uganda,2020,13
Ukraine,2020,1361
United Arab Emirates,2020,39
United Kingdom,2020,11990
United States,2020,269586
Upper-middle-income countries,2020,1391200
Uruguay,2017,23
Uzbekistan,2020,356
Venezuela,2017,96
Vietnam,2020,1021
World,2020,2304400
Yemen,2020,60
Zambia,2020,16
Zimbabwe,2016,8
